96,43
27,47
168,45
238,42
308,40
376,41
445,44
513,47
584,46
655,47
831,20
871,54
944,47
1002,47
61,79
130,81
200,80
274,77
343,76
411,76
479,78
549,80
618,80
904,85
27,113
94,116
164,114
235,115
310,112
378,112
443,112
512,113
586,115
724,121
799,121
760,81
940,123
62,149
132,149
200,147
271,151
344,145
412,146
481,147
550,152
907,157
839,163
974,157
752,140
639,169
588,186
620,220
798,194
871,194
834,231
767,228
648,245
692,292
731,332
764,297
734,264
802,262
871,264
904,300
938,336
975,299
906,227
936,197
940,266
973,233
518,183
446,182
379,180
304,185
340,219
235,185
166,185
97,184
32,180
411,216
484,215
588,255
516,251
552,218
272,219
305,251
235,253
200,221
165,253
132,217
29,250
22,190
52,222
67,213
90,259
103,246
61,287
123,293
138,283
201,288
269,287
216,305
234,324
271,358
303,323
336,290
373,261
410,294
442,255
478,288
555,290
977,89
96,320
61,354
25,321
170,327
199,358
233,395
201,429
165,394
131,358
96,393
131,429
166,463
97,462
61,430
24,396
25,461
63,500
25,530
61,570
95,537
96,602
131,570
161,533
197,499
233,466
268,427
303,394
338,361
373,325
443,323
483,367
519,330
554,365
593,330
634,236
614,284
630,370
661,403
699,363
727,405
767,369
803,333
837,300
869,335
976,371
906,369
939,405
973,439
836,365
871,400
908,435
939,471
978,501
905,503
870,472
856,454
835,433
799,401
694,434
763,435
727,471
763,507
797,471
825,503
831,509
865,543
902,579
942,542
977,574
938,614
989,667
961,705
903,648
867,612
829,574
409,357
374,392
340,428
413,433
449,396
487,437
519,402
553,439
590,404
627,439
690,506
729,541
761,576
797,539
794,611
836,650
866,685
835,716
801,684
759,643
728,611
693,574
690,639
653,674
617,710
597,730
564,701
586,678
553,644
592,612
625,577
655,540
589,474
518,607
550,581
519,543
487,508
517,470
537,489
450,471
377,466
304,460
270,499
307,536
381,542
417,509
450,541
486,573
451,607
348,576
382,611
417,647
347,645
312,612
276,570
235,532
199,566
240,609
276,641
204,638
164,600
129,638
170,678
240,681
204,714
276,714
313,681
383,683
335,704
364,731
401,701
120,726
83,686
46,648
16,611
476,663
475,634
925,735
1009,264
933,326
962,284
988,243
1009,202
693,222
689,79
725,678
767,714
663,328
328,275
435,237
116,343
618,642
658,608
859,105
41,723
535,205
342,501 #Plaça de Tetuan
11,378
500,658 #Arc del triomf
294,127 #Sagrada familia
644,109 #Parc de glories
629,513 #Parc estacio nord
