1,15,1.0
15,25,1.0
92,79,0.1
79,38,1.0
38,26,1.0
26,16,1.0
16,3,1.0
4,17,1.0
17,27,1.0
27,39,1.0
39,78,1.0
78,94,1.0
94,93,0.1
93,91,1.0
115,97,1.0
97,95,1.0
95,96,0.1
96,90,1.0
90,77,1.0
77,40,1.0
40,28,1.0
28,18,1.0
18,5,1.0
5,296,1.0
6,19,1.0
19,29,1.0
29,287,0.5
287,41,0.5
41,76,1.0
76,88,1.0
88,89,1.0
89,99,1.0
99,98,0.1
98,113,1.0
113,114,1.0
114,127,1.0
7,20,1.0
20,30,1.0
30,42,1.0
42,74,1.0
74,85,1.0
85,87,1.0
87,100,1.0
100,116,1.0
116,121,1.0
121,122,1.0
122,126,1.0
126,128,1.0
130,129,1.0
129,125,1.0
125,123,1.0
123,120,1.0
120,117,1.0
117,103,1.0
103,101,1.0
101,86,1.0
86,75,1.0
75,73,1.0
73,43,1.0
43,31,1.0
31,21,1.0
21,8,1.0
9,22,1.0
22,32,1.0
32,44,1.0
44,72,1.0
72,80,1.0
80,107,1.0
107,106,1.0
106,105,1.0
105,104,1.0
104,118,1.0
118,119,1.0
119,124,1.0
124,299,1.0
299,132,1.0
132,131,1.0
131,262,1.0
261,133,1.0
133,134,1.0
134,135,1.0
135,136,1.0
136,137,1.0
137,138,1.0
138,139,1.0
139,140,1.0
140,141,1.0
141,108,1.0
108,109,1.0
109,81,1.0
81,71,1.0
71,45,1.0
45,33,1.0
33,23,1.0
23,10,1.0
84,83,1.0
83,291,0.5
291,110,0.5
110,142,1.0
142,188,1.0
188,189,1.0
189,190,1.0
190,229,1.0
229,230,1.0
230,243,1.0
243,244,1.0
244,248,1.0
248,249,1.0
249,260,1.0
250,247,1.0
247,245,1.0
245,242,1.0
242,231,1.0
231,284,1.0
284,228,1.0
228,191,1.0
191,192,1.0
192,143,1.0
143,144,1.0
144,293,0.5
293,144,0.5
293,293,0.5
293,111,0.5
111,293,0.5
111,82,1.0
82,111,1.0
82,52,1.0
52,82,1.0
52,34,2.0
34,52,2.0
34,36,1.0
36,34,1.0
36,11,1.0
11,36,1.0
251,246,1.0
246,241,1.0
241,237,1.0
237,232,1.0
232,233,1.0
233,227,1.0
227,193,1.0
193,194,1.0
194,145,1.0
145,146,1.0
146,148,1.0
148,147,1.0
149,196,1.0
196,195,1.0
195,225,1.0
225,224,1.0
224,234,1.0
234,297,1.0
297,238,1.0
238,240,1.0
240,254,1.0
14,112,1.0
112,37,1.0
37,46,1.0
46,54,1.0
54,55,1.0
55,62,1.0
62,60,1.0
60,59,1.0
59,151,1.0
151,150,1.0
150,197,1.0
197,220,1.0
220,223,2.0
223,235,1.0
235,236,1.0
236,239,1.0
239,255,1.0
258,263,1.0
263,221,1.0
221,222,1.0
171,152,1.0
152,153,1.0
153,154,1.0
154,155,1.0
155,63,1.0
215,279,1.0
279,280,1.0
280,209,1.0
209,199,1.0
199,174,1.0
174,175,1.0
175,169,1.0
169,162,1.0
162,158,1.0
158,65,1.0
65,66,1.0
66,266,1.0
210,211,1.0
211,210,1.0
210,208,1.0
208,200,1.0
201,200,1.0
177,201,1.0
167,177,1.0
163,167,1.0
159,163,1.0
157,159,1.0
207,202,1.0
202,187,1.0
187,178,1.0
178,166,1.0
166,164,1.0
164,160,1.0
165,180,1.0
180,179,1.0
179,186,1.0
186,203,1.0
203,206,1.0
204,185,1.0
185,182,1.0
182,181,1.0
58,61,1.0
61,56,1.0
56,53,1.0
53,47,1.0
15,26,1.0
26,39,1.0
39,77,1.0
77,88,1.0
88,87,1.0
87,101,1.0
101,105,1.0
105,140,1.0
140,189,1.0
189,191,1.0
191,227,1.0
227,224,1.0
224,223,1.0
223,222,1.0
222,217,1.0
217,279,1.0
279,211,1.0
215,216,1.0
216,221,1.0
221,235,1.0
235,234,1.0
234,233,1.0
233,228,1.0
228,190,1.0
190,139,1.0
139,104,1.0
104,103,1.0
103,102,0.5
102,100,0.5
100,89,1.0
89,90,1.0
90,78,1.0
78,38,1.0
38,25,1.0
